Country,WHO_Region,cases_perMil,deaths_perMil,mean_age,Transmission_Classification,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,latitude,longitude,Avg_Rainfall91.2016_mm,Avg_temp91.2016_c,GDPpc,PerUrb,HCexpend,inv_simpsons,Hookworm_disease,Schistosomiasis,Lymphatic_filariasis,inf_diseaseBurden,Total_tests_per_thousand,Diabetes_prevalence,Cardiovasc_death_rate,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,People_vaccinated
Afghanistan,Eastern Mediterranean,1422.72,62.01,19.5,Clusters_of_cases,0.000141588,0.059984655,0.191078231,0.01072646,0.058064598,0.16662204,56.93776001,33.93911,67.709953,26.84327013,13.54560946,521.6847275,25.2644,521.6847275,4.201166,0.014738821,0,0,3342377.718,NA,9.59,597.029,0.5,2.615794214,0.03,192000,142000,242000,44532.80256,-83799.72319,200409.6655,8.9023859,0.097736979,4164530
Albania,Europe,29984.39,511.5,34.3,Clusters_of_cases,1.23E-05,0.080235601,0,0,0,0.173748103,104.6122628,41.153332,20.168331,82.68188798,12.10643452,4649.100558,59.3572,4649.100558,2.550607,0,0,0,25437.10223,20674.434,10.08,304.195,2.89,14.20263062,0.07,17300,16500,18100,12688.67702,7203.051763,17862.7292,18.1628587,0.030533502,1141711
Algeria,Africa,2492.83,66.54,28.9,Community_transmission,0.000239969,0.104315389,0.034601499,5.30E-05,0.029352264,0.098426038,17.73007507,28.033886,1.659626,6.835601538,23.43961026,4074.396794,72.0354,4074.396794,4.54016,0.002620166,0.00776125,0,469883.1626,NA,6.73,278.364,1.9,6.552777882,0.07,54400,41600,65500,69587.05713,1857.941123,147643.4252,16.9504538,0.078573226,7134946
American Samoa,Western Pacific,0,0,27.2,No_cases,0.000265309,0.167774807,0,0,0,0.346816972,277.325,-14.270972,-170.132217,258.0466173,27.58954712,11457.60556,87.1812,11457.60556,2.817801,0,0,0.04594716,1118.459983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56753
Andorra,Europe,132983.89,1371.9,46.2,Community_transmission,0.001381292,0.123036984,0,0,0,0.080270793,163.8425532,42.546245,1.601554,63.13818955,11.95374638,38975.90305,88.1578,38975.90305,2.289178,0,0,0,576.2917623,30973.766,7.97,109.135,NA,NA,NA,328,286,376,374.5988272,-54.65049751,875.2939434,30.1739305,0.22223048,NA
Angola,Africa,611.93,14.45,15.9,Community_transmission,0.013121521,0.218327663,0.075926409,0.118632222,0.059438017,0.290412017,24.71305206,-11.202692,17.873887,80.56724208,22.13381538,3569.847758,64.825,3569.847758,6.103529,0.06456734,0.05386833,0.015869857,5045943.52,NA,3.94,276.045,NA,2.19934175,0.01,64000,46000,88900,22685.01187,-87613.44843,155960.8951,4.9540306,0.090863378,7610350
Antigua and Barbuda,Americas,3226.83,71.48,32.7,Sporadic_cases,0.003264522,0.255705792,0.014851097,0,0.032754872,0.210553689,37.37236563,17.060816,-61.796428,213.8767163,26.15621474,15730.53824,24.7328,15730.53824,3.970921,0.006211288,0.085497807,0,1471.118581,NA,13.17,191.511,3.8,9.054964064,0.04,43,-89,249,-29.90219186,-414.3792347,405.4250467,-1.7718536,0.199718381,64978
Argentina,Americas,43817.08,1087.96,32.4,Community_transmission,0.004449984,0.187137738,0.014655095,0,0.032611537,0.188152287,16.2585101,-38.416097,-63.616672,48.74463612,14.56888061,12547.62491,91.748,12547.62491,3.281138,0.006908173,0,0,943901.1828,23006.306,5.5,191.032,5,11.24310827,0.02,142000,125000,165000,89727.01082,-13550.1944,199997.5923,12.0673849,0.064012166,38687350
Armenia,Europe,56795.88,1054.93,36.6,Community_transmission,0.000483401,0.106599781,0.011799811,0,0.002192676,0.202106634,103.6802248,40.069099,45.038189,44.77818904,7.803381795,3991.370202,63.1276,3991.370202,3.222748,0.007776349,0,0,35765.51701,31903.328,7.11,341.01,4.2,11.48366772,0.04,20600,19600,21900,19663.22482,16466.25617,22761.10776,39.1041008,0.029710158,936925
Australia,Western Pacific,1131.65,35.65,37.5,Sporadic_cases,0.00075371,0.134291727,0,0,0,0.114278189,3.24787091,-25.274398,133.775136,40.40741638,21.96657147,54634.02203,85.9082,54634.02203,2.452284,0,0,0,114896.8342,73845.433,5.07,107.791,3.84,15.92120175,0.06,-18100,-21400,-14400,-14254.57046,-32137.31436,2928.210888,-3.8317474,0.016834541,20437664
Austria,Europe,46794.73,881.6,44.5,Community_transmission,0.002054762,0.110889052,0,0,0,0.080261903,107.1279669,47.516231,14.550072,98.31900946,7.202214904,47699.46776,58.1052,47699.46776,2.381989,0,0,0,42469.61512,198024.173,6.35,145.183,7.37,19.07560629,0.09,18300,16400,20200,11938.43491,2684.639734,20926.78588,6.8789646,0.018112896,6701221
Azerbaijan,Europe,22802.44,311.76,32.6,Clusters_of_cases,0.00034459,0.097465891,0.014524798,0,0.002441868,0.243663008,120.2343172,40.143105,47.576927,35.98206744,12.41966824,4612.313512,55.3578,4612.313512,2.984225,0.008617664,0,0,259469.8601,NA,7.11,559.812,4.7,6.44638912,0.04,53500,51400,55600,57008.42611,44356.03869,69284.98743,34.5268822,0.034696327,5171453
Bahamas,Americas,21078.52,447.56,32.8,Clusters_of_cases,0.011330111,0.248152837,0.009967219,0,0.033302834,0.231260043,38.52547453,25.03428,-77.39628,110.0077478,25.40345449,32841.51708,82.932,32841.51708,3.314203,0.006249382,0,0,10252.62802,NA,13.17,235.954,2.9,7.483272654,0.06,1060,547,1440,1002.641387,-709.4424088,3066.179713,18.4657923,0.123914783,157898
Bahrain,Eastern Mediterranean,63498.82,225.09,32.9,Clusters_of_cases,0.000173699,0.115550152,0.014914745,0,0.025785107,0.146110917,2017.2737,25.930414,50.637772,5.931829167,27.91451058,23296.12435,89.1912,23296.12435,3.507296,0.002197242,0,0,8450.281002,307375.675,16.52,151.689,2,2.518809729,0.04,3920,3060,4780,665.8519052,-2242.149535,4096.302021,7.0257312,0.106305641,1181575
Bangladesh,South-East Asia,3269.05,49.92,27.9,Community_transmission,5.37E-05,0.065889817,0.325112124,0.000498385,0.107955917,0.078221645,1239.579312,23.684994,90.356331,193.0744926,25.3337391,1553.615589,35.8572,1553.615589,3.234086,0.014830542,0,0.004276176,6000488.732,4805.207,8.38,298.003,0.8,5.180351348,0.03,413000,347000,504000,140764.3543,-276185.8561,642414.362,8.7349725,0.097473982,73212792
Barbados,Americas,5946.93,62.64,39.5,Community_transmission,0.00522789,0.274008772,0.010805184,0,0.031499789,0.20969733,666.6069767,13.193887,-59.543198,186.4684396,26.70339359,17342.02081,31.1812,17342.02081,3.170846,0.007768537,0,0,5743.6738,NA,13.57,170.05,5.8,16.23099033,0.03,553,319,789,-355.8809835,-1333.477957,679.2686983,-4.8921953,0.065575352,158049
Belarus,Europe,27462.18,189.64,40.9,Community_transmission,0.001883456,0.16493793,0,0,0,0.171825734,46.71950379,53.709807,27.953389,52.53906904,7.362349006,5945.370122,78.123,5945.370122,2.725554,0,0,0,98387.28214,24993.22,5.18,443.129,11,15.20084135,0.07,85600,81600,93400,48892.62925,15441.93602,87658.10879,20.2855775,0.080188496,4710756
Belgium,Europe,62683.92,1848.46,41.6,Community_transmission,0.002212431,0.116865479,0,0,0,0.079053598,377.3795905,50.503887,4.469936,72.66912532,10.57346205,44234.45458,97.9596,44234.45458,2.274107,0,0,0,117957.3739,144881.188,4.29,114.898,5.64,19.00656607,0.12,32800,30400,35000,17918.21138,6102.830621,29521.06949,7.8981706,0.018767748,8938993
Belize,Americas,30272.01,769.56,23.9,Community_transmission,0.006787961,0.198746406,0.043456408,0.000388038,0.03985373,0.228957292,16.79399386,17.189877,-88.49765,174.3321341,25.63707083,4836.366928,45.6184,4836.366928,3.77912,0.007686635,0,0,10969.82507,NA,17.11,176.957,1.3,4.86738926,0.04,982,540,1330,697.1281414,-207.3753471,1765.595552,16.7979292,0.150876434,230964
Benin,Africa,345.87,4.54,17,Community_transmission,0.005729919,0.133067377,0.059396369,0.32736205,0.039268383,0.189676198,101.8539198,9.30769,2.315834,87.34315218,27.88625321,1152.188106,46.773,1152.188106,5.509188,0.085212644,0.105927833,0.002789872,2841066.915,NA,0.99,235.848,0.5,3.264884925,0.02,8250,5560,11500,11853.45923,-34599.31972,68197.56873,6.2883137,0.09669516,1703504
Bermuda,Americas,11112.36,192.7,43.6,Sporadic_cases,0.002899534,0.29456357,0.007031418,0,0.026163101,0.156496414,1183.703683,32.321384,-64.75737,NA,NA,110164.5579,100,110164.5579,2.846269,0.005664402,0,0,812.2773207,NA,13,139.547,NA,NA,0.07,145,84,213,NA,NA,NA,NA,NA,47183
Bhutan,South-East Asia,1115.85,1.3,29.1,Clusters_of_cases,0.0009928,0.065167918,0.212127821,0.000931135,0.061556721,0.061241106,19.77752777,27.514162,90.433601,159.6253066,12.25373468,3105.89273,40.156,3105.89273,3.81369,0.012282557,0,0,27708.77109,90286.694,9.75,217.066,1.7,6.092974373,0.03,108,45,160,-396.9800105,-2713.577005,2380.549062,-4.2519459,0.092855319,852383
Bolivia (Plurinational State of),Americas,19529.39,924.87,25.3,Community_transmission,0.001441466,0.216895313,0.033865613,0.001358619,0.036163061,0.185022568,10.48014585,-16.290154,-63.588653,91.00180651,20.90170128,3312.882825,69.0818,3312.882825,3.927734,0.005664131,0,0,527540.597,10075.434,6.89,204.299,1.1,7.338631646,0.02,161000,130000,193000,88030.42286,82896.08892,93104.36517,47.5567247,0.015210695,5543107
Bosnia and Herzegovina,Europe,37826.23,1467.01,43.3,Community_transmission,4.18E-05,0.088018895,0,0,0,0.193829225,64.92048828,43.915886,17.679076,90.6193324,10.48909301,5459.449478,47.8876,5459.449478,2.46713,0,0,0,23754.6871,28346.462,10.08,329.635,3.5,17.20115117,0.08,20900,19600,22000,15716.04809,9169.552139,22050.32287,20.4048048,0.03533504,912426
Botswana,Africa,10390.68,76.12,25.7,Community_transmission,0.157515946,0.30111756,0.00646852,0.000807414,0.045683201,0.154839046,3.977424876,-22.328474,24.684866,31.47796862,22.29560192,7635.579977,68.6812,7635.579977,5.529895,0.027755064,0.112411698,0,462837.0162,NA,4.81,237.372,1.8,4.365895341,0.02,17200,14200,20700,7412.645174,-4331.334807,21428.96741,17.5988769,0.103858093,1150613
Brazil,Americas,44809.31,1089.27,33.2,Community_transmission,0.004276361,0.28641381,0.022907849,0.000725891,0.036629627,0.270806068,25.06171624,-14.235004,-51.92528,147.6897981,25.50485192,9033.580888,86.3028,9033.580888,3.608581,0.009106958,0.029321899,0.000493627,4821292.12,239.485,8.11,177.961,2.2,9.251608036,0.03,792000,730000,847000,681267.2918,617495.8923,745423.3367,23.8846155,0.009553456,166143542
British Virgin Islands,Americas,4663.16,33.07,37.2,Clusters_of_cases,0.001329502,0.101604272,0,0,0,0.27618594,198.68,18.420695,-64.639968,NA,NA,NA,47.3432,NA,2.219002,0,0,0.023342331,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,7330
Brunei Darussalam,Western Pacific,416.02,6.86,31.1,Sporadic_cases,0.00026587,0.121202378,0,0,0,0.195379223,81.39696395,4.535277,114.727669,272.6018391,25.71679615,29921.92243,77.3072,29921.92243,2.568537,0,0,0,4922.361015,NA,12.79,201.285,2.7,5.208811752,0.03,132,44,217,-110.091573,-1098.711042,1021.196615,-2.1521682,0.135319577,407479
Bulgaria,Europe,32359.61,1355.7,43.7,Clusters_of_cases,0.004212876,0.137242689,0.15046198,0.31023491,0.03316745,0.198971216,64.71109985,42.733883,25.48583,52.67103913,11.28779103,8438.950271,74.6686,8438.950271,5.15629,0.026302201,0.008633084,0.005708985,75492.24605,35540.91,5.81,424.688,7.454,21.25296727,0.07,82500,81200,83800,57494.15031,45508.44998,69248.40558,26.4833171,0.023420413,1957650
Burkina Faso,Africa,541.02,6.41,17.9,Community_transmission,0.0073639,0.18515429,0.084708166,0.353547631,0.096215259,0.229124914,72.19128289,12.238333,-1.561593,66.58027099,28.69861186,735.3127105,28.749,735.3127105,6.419935,0.110207211,0.094830772,0,6668974.485,NA,2.42,269.048,0.4,2.407287537,0.02,21400,14200,31800,22159.51131,-54780.29549,113630.5259,7.2921378,0.092239141,1037977
Burundi,Africa,145.49,0.25,17.7,Community_transmission,0.016703432,0.153722651,0.041483709,0.28462141,0.030999333,0.21036991,435.178271,-3.373056,29.918886,103.0768135,20.88023718,282.7480102,12.714,282.7480102,6.349234,0.044514899,0.082007971,0.105871136,2458859.325,NA,6.05,293.068,0.8,2.312095315,0.02,4310,2730,6350,9337.437593,-30895.37868,57127.82138,6.0936329,0.104287052,4724
Cabo Verde,Africa,25991.61,244.61,26.8,Community_transmission,0.005222856,0.204796182,0.035668988,0.002623379,0.036816176,0.146443565,134.9297767,16.002082,-24.013197,28.93012,23.42969808,3337.546481,65.2544,3337.546481,4.38299,0.015395551,0,0,19434.72426,NA,2.42,182.219,2.1,4.698373444,NA,659,505,790,926.6293968,-932.1847832,3139.888521,15.1889751,0.114332972,311481
Cambodia,Western Pacific,28.47,0,26.4,Sporadic_cases,0.004401892,0.138360628,0.128231364,0.004632365,0.009508939,0.314517821,92.05641287,12.565679,104.990963,156.7822484,27.51141923,1394.600851,22.9886,1394.600851,3.512373,0.027246438,2.57E-05,0.001321378,1034760.142,NA,4,270.892,0.8,NA,NA,17500,12700,23700,12517.74986,-37651.14058,71837.09903,6.2816467,0.093471464,NA
Cameroon,Africa,1182.63,17.86,18.5,Community_transmission,0.020951069,0.190293912,0.060342444,0.211546577,0.062464591,0.190936048,53.34398891,7.369722,12.354722,131.5150435,24.93106635,1431.776971,55.7752,1431.776971,7.103678,0.043689841,0.043418335,0.003487259,6447610.838,NA,7.2,244.661,1.3,2.723649908,0.02,41300,30800,53600,35321.90098,-62322.24481,153534.3396,9.220401,0.099031895,834113
Canada,Americas,21309.33,550.23,41.8,Community_transmission,0.002690069,0.116814992,0,0,0,0.111035374,4.075188239,56.130366,-106.346771,38.67237853,-5.963873782,44712.88921,81.3604,44712.88921,2.640949,0,0,0,260343.016,111706.658,7.37,105.599,2.5,17.64789689,0.13,43700,39900,47300,22019.23788,-19386.3939,66207.56226,3.8401433,0.039007051,31690376
Central African Republic,Africa,1032.97,13.04,20,Community_transmission,0.021881786,0.230159865,0.114669455,0.262438797,0.066932805,0.366953849,7.490412212,6.611111,20.939444,113.5673233,25.40206346,434.8751176,41.0018,434.8751176,6.923105,0.090510089,0.05874679,0.055432266,2352804.058,NA,6.1,435.727,1,2.81479015,0.02,14100,8980,21600,6246.471255,-21688.1349,38953.35036,5.7974473,0.101528682,456736
Chad,Africa,213.57,7.61,16.1,Community_transmission,0.008418957,0.104030551,0.107398078,0.08796556,0.068863815,0.220157991,12.29173364,15.454166,18.732207,28.75294837,27.55332756,714.2214925,22.8776,714.2214925,6.703248,0.235672109,0.031752077,0.016521342,6404644.032,NA,6.1,280.995,NA,2.491641623,0.02,15200,8570,23500,19249.44499,-54455.32796,108037.907,6.4779044,0.098579017,223451
Chile,Americas,39513.6,996.85,35.5,Community_transmission,0.003237307,0.200374593,0.008930723,0,0.030491584,0.159209868,25.18944607,-35.675147,-71.542969,50.72814519,8.454477692,14629.67689,87.4958,14629.67689,3.108465,0.006584332,0,0,180755.7732,83880.826,8.46,127.993,2.11,11.88154013,0.02,37200,35200,39300,38695.39154,31727.36122,45595.82907,17.0817735,0.012211859,17277371
China,Western Pacific,68.89,3.28,38.4,Clusters_of_cases,0.000404628,0.125964241,0.012521918,4.95E-07,0.06177465,0.318248816,148.3488333,35.86166,104.195397,48.27837978,7.039331891,9066.535078,57.9312,9066.535078,2.997266,0.011554511,0.00793022,0,12261284.12,173.692,9.74,261.899,4.34,11.47219302,0.06,17900,7540,30100,-51931.61309,-495479.5619,384127.8817,-0.3022598,0.001371482,654947289
Colombia,Americas,42395.7,1100.43,31.2,Community_transmission,0.002264601,0.260648484,0.102167183,0.002271523,0.049057664,0.229311975,44.75985219,4.570868,-74.297333,221.0699689,24.73434872,6313.789701,80.44,6313.789701,4.149948,0.020204548,0,0,684290.861,36302.419,7.44,124.24,1.71,8.765830007,0.03,179000,171000,187000,164744.2968,154397.5994,175078.2507,32.4578689,0.009501546,37665541
Comoros,Africa,3625.8,132.24,20.9,Community_transmission,0.000172793,0.244216836,0.013812703,0.027963177,0.040962831,0.227918418,447.2444775,-11.875001,43.872219,133.4617955,25.72138397,1325.11545,28.8004,1325.11545,4.726723,0.034616435,0,0.064374556,71320.86031,NA,11.88,261.516,2.2,3.055403427,0.01,1480,1090,1850,723.484517,-1979.038578,3918.94513,7.1564079,0.096862948,318613
Congo,Africa,1460.65,22.11,19.5,Community_transmission,0.018871743,0.261367146,0.018394858,0.187788963,0.052451287,0.300761747,15.35684627,-0.228021,15.827659,133.606601,24.84103558,2317.07112,66.4584,2317.07112,5.345646,0.028336419,0.06656487,0.014900461,763246.2455,NA,7.2,344.094,NA,2.721415896,0.02,11700,9320,15000,4529.22172,-13142.35544,25880.89238,6.3959365,0.094469433,608820
Cook Islands,Western Pacific,0,0,38.3,No_cases,0.00164139,0.199181708,0.009358061,0,0.047535707,0.278074818,NA,-21.236736,-159.777671,NA,NA,NA,NA,NA,3.382635,0.011147333,0,0,416.3323587,18804.238,8.78,137.973,1.13,NA,NA,NA,NA,NA,-35.78151314,-206.4168961,164.1715624,-10.5909191,0.189158486,NA
Costa Rica,Americas,38561.73,524.53,32.6,Community_transmission,0.001510127,0.249690478,0.073293082,0,0.04891673,0.2137157,97.91306306,9.748917,-83.753428,243.6692138,24.92141442,11827.23277,78.5146,11827.23277,4.124231,0.018762861,0,0,47397.47801,2665.772,2.42,303.74,NA,9.880435323,0.03,6220,5450,7310,9647.025815,-353.1578282,21573.82781,19.1600167,0.112371337,3946606
Croatia,Europe,57427.69,1272.51,43.9,Community_transmission,0.000220843,0.098260066,0,0,0,0.145472657,73.04937455,45.1,15.2,89.79589846,11.44510413,13509.00583,56.6828,13509.00583,2.82677,0,0,0,24175.69268,44987.413,5.59,253.782,5.54,20.86013523,0.09,22900,22100,23800,17176.10587,10700.04241,23487.00083,16.5938696,0.023361424,2250682
Cuba,Americas,2956.22,21.19,42.1,Community_transmission,0.002240084,0.277051118,0.021490859,0,0.030604733,0.183455201,108.9995962,21.521757,-77.781167,112.6315038,25.90257436,8279.459343,76.9898,8279.459343,3.148076,0.007606103,0,0,181244.7322,32161.237,8.27,190.968,5.2,15.56495916,0.05,26600,15000,46800,18159.77709,-20212.16231,63070.42265,7.7454198,0.087725765,10643164
Cyprus,Europe,26391.49,177.25,37.9,Clusters_of_cases,0.000154515,0.114568362,0,0,0,0.081148834,128.7083333,35.126413,33.429859,37.82776529,19.47115897,26150.60121,66.8556,26150.60121,2.313696,0,0,0,5925.231136,363477.617,9.24,141.171,3.4,17.16883689,0.05,809,509,1110,1008.744776,-172.7316487,2135.474201,8.1738201,0.031160046,642291
Czechia,Europe,97593.97,1633.86,43.3,Community_transmission,0.000164339,0.079950371,0,0,0,0.148011115,137.6577053,49.817492,15.472962,56.57416423,8.756214455,20790.31403,73.687,20790.31403,2.692145,0,0,0,92634.70528,NA,6.82,227.485,6.63,14.04826565,0.1,49100,47000,51000,37038.54611,25306.84115,48417.5698,15.3617326,0.020347389,6824748
Democratic Republic of the Congo,Africa,264.29,7.6,16.7,Community_transmission,0.004399102,0.220320909,0.14343247,0.251714316,0.124957197,0.313106547,37.08259236,-4.038333,21.758664,122.1602333,24.53754904,514.6982648,43.8866,514.6982648,7.636924,0.137829346,0.050999004,0.024192352,15851031.15,NA,6.1,318.949,NA,19.80074484,0.02,98700,66400,151000,117757.7044,-249194.504,554489.5825,8.1429919,0.097294727,239641
