Country,WHO_Region,cases_perMil,deaths_perMil,mean_age,Transmission_Classification,HIV.AIDS,Genital.herpes,Ascariasis,Malaria,Trichuriasis,Tuberculosis,popDen,latitude,longitude,Avg_Rainfall91.2016_mm,Avg_temp91.2016_c,GDPpc,PerUrb,HCexpend,inv_simpsons,Hookworm_disease,Schistosomiasis,Lymphatic_filariasis,inf_diseaseBurden,Total_tests_per_thousand,Diabetes_prevalence,Cardiovasc_death_rate,Hospital_beds_per_thousand,PropOver_70,AirConnectivityIndex,IHME_meanExcessDeaths,IHME_lowerCIExcessDeaths,IHME_upperCIExcessDeaths,WHO_meanExcessDeaths,WHO_lowerCIExcessDeaths,WHO_upperCIExcessDeaths,pscore.mean,pscore.mean.se,People_vaccinated
Denmark,Europe,34883.28,382.58,42,Community_transmission,0.001194471,0.128687325,0,0,0,0.08061606,137.9765658,56.26392,9.501785,61.73003987,8.678213269,57459.56645,87.7586,57459.56645,2.247537,0,0,0,48953.80079,416039.197,6.41,114.767,2.5,19.96525913,0.09,10400,8900,11700,3716.267284,-1727.706669,8990.145707,3.6438533,0.016924883,4718862
Djibouti,Eastern Mediterranean,6022.27,63.77,24.9,Clusters_of_cases,0.01162396,0.205471941,0.039146068,0.013112981,0.031037366,0.185034222,41.36842105,11.825138,42.590275,21.71606471,28.26240865,2986.47475,77.657,2986.47475,4.336196,0.009997282,0.00212565,0,152543.8687,NA,6.05,258.037,1.4,4.609063643,0.02,3850,2940,4840,1767.323822,-2209.909841,6529.956231,12.2631323,0.103928231,100828
Dominica,Americas,1680.77,0,34.9,Clusters_of_cases,0.00320804,0.241620753,0.013235304,0,0.034926316,0.259558348,95.5,15.414999,-61.370976,269.0761215,24.95566571,7751.31448,70.1818,7751.31448,3.209215,0.00817047,0,0,1539.229533,NA,11.62,227.376,3.8,NA,NA,149,83,224,15.05365394,-490.5297635,619.1717099,1.0545877,0.123606751,NA
Dominican Republic,Americas,20660.11,262.08,27.9,Community_transmission,0.005676965,0.212857024,0.048114851,2.15E-05,0.036627944,0.234603392,219.9785759,18.735693,-70.162651,121.4442597,24.48336154,7628.896587,80.2362,7628.896587,4.85857,0.006837338,0.124032855,0.016394668,313471.2202,15897.987,8.2,266.653,1.6,7.298389658,0.05,20800,10400,29100,11873.18529,-15468.5295,44813.01903,7.9654925,0.089010206,30589
Ecuador,Americas,14657.72,850.93,28.8,Community_transmission,0.002364769,0.233564259,0.083419841,0.00156621,0.056763742,0.149822992,68.78868175,-1.831239,-78.183406,185.949474,21.70914423,6175.569094,63.6818,6175.569094,3.996424,0.00540088,0,0,395173.5921,9439.902,5.55,140.448,1.5,7.372199367,0.02,112000,106000,117000,80868.02826,70353.71579,91055.18919,50.3748386,0.03328047,14193279
Egypt,Eastern Mediterranean,1663.24,94.78,24.1,Clusters_of_cases,4.72E-05,0.090130189,0.030892309,0,0.023953185,0.2850804,98.87346929,26.820553,30.802498,2.485025064,23.05570769,3016.685489,42.7312,3016.685489,2.850767,0.003722298,0.012140755,0.00721943,2415120.45,NA,17.31,525.432,1.6,5.276332976,0.04,265000,248000,278000,251101.5719,136209.3243,366840.6349,22.3130948,0.043870612,33916219
El Salvador,Americas,8734.38,260.86,27.7,Community_transmission,0.003484775,0.23023373,0.055061099,9.86E-05,0.067319448,0.252553152,309.8814672,13.794185,-88.89653,151.2771268,24.37199647,3935.347657,71.249,3935.347657,4.427262,0.058641967,0,0,136830.2207,23420.179,8.87,167.295,1.3,8.469582569,0.03,26900,21000,32800,17035.57142,-4326.733115,41723.92973,20.1442377,0.148283039,4485593
Equatorial Guinea,Africa,4001.47,62.01,20.3,Community_transmission,0.051830953,0.225254293,0.025386441,0.336657105,0.047888214,0.242399005,46.66573975,1.650801,10.267895,181.8614803,24.89411058,9695.565902,71.634,9695.565902,5.342202,0.014961297,0.042097156,0.011434465,244255.7199,NA,7.78,202.812,2.1,2.424508808,0.02,2770,2090,3620,1719.486907,-3739.887401,8251.953537,8.1841967,0.096683886,244627
Eritrea,Africa,655.87,1.97,20.3,Community_transmission,0.003884645,0.174672616,0.020338457,0.012100602,0.052311985,0.242417038,NA,15.179384,39.782334,22.56127292,26.94000224,NA,NA,NA,5.31396,0.118767289,0.039476449,0.00370359,952438.16,NA,6.05,311.11,0.7,NA,0.03,7210,5130,10300,2412.796624,-11179.76757,18716.63236,4.406419,0.092893044,NA
Estonia,Europe,36794.36,357.32,43.7,Clusters_of_cases,0.002565861,0.164118541,0,0,0,0.156131064,30.41124914,58.595272,25.013607,55.74426596,6.166056154,20662.39145,68.7254,20662.39145,2.738242,0,0,0,12877.44777,116647.326,4.02,255.569,4.69,19.99180778,0.06,5630,5180,6180,3374.426148,1608.258004,5087.508051,10.9072208,0.020763674,841788
Eswatini,Africa,13992.85,523.2,23.7,Community_transmission,0.195835479,0.269845843,0.012111648,0.000609254,0.054632396,0.24507416,66.05761628,-26.523,31.466,66.01406798,20.46310801,3804.169904,23.6328,3804.169904,5.828574,0.084862204,0.063254385,0,307435.9878,NA,3.94,333.436,2.1,4.014789266,0.02,13600,10500,16600,3820.248047,-2731.295012,11677.96678,16.8351905,0.108742837,344055
Ethiopia,Africa,1243.82,18.75,19.8,Community_transmission,0.007571648,0.136782514,0.033916645,0.042854424,0.061230912,0.324872315,109.224559,9.145,40.489673,67.66684324,23.15304776,750.6946936,20.3184,750.6946936,5.798468,0.207724673,0.197671421,0.005701588,13179967.4,3729.351,7.47,182.634,0.3,3.516690455,0.01,208000,150000,313000,103495.826,-214658.4073,488788.2611,8.2935499,0.096099247,9010055
Fiji,Western Pacific,62.47,2.23,29.9,Sporadic_cases,0.000539127,0.175090956,0.026101208,0,0.052187617,0.382663735,48.35703339,-16.578193,179.414413,239.7889574,24.32588622,5927.294145,55.7402,5927.294145,3.812702,0.011796247,0,0.10562771,28795.92277,5273.6,14.49,412.82,2.3,5.624229594,0.01,1480,1030,1930,-116.9223187,-3709.332275,4235.36463,-0.9294068,0.098039918,662906
Finland,Europe,8657.54,126.52,42.8,Community_transmission,0.00026002,0.115729409,0,0,0,0.077641147,18.14854727,61.92411,25.748151,46.89010253,2.402187596,46343.86227,85.3306,46343.86227,2.271507,0,0,0,23073.58383,101950.891,5.76,153.507,3.28,22.14064462,0.06,8780,7190,10200,2856.999815,-1372.302404,7034.926923,2.7115063,0.012697523,4290682
France,Europe,50338.74,1210.54,41.7,Community_transmission,0.001652556,0.114523888,0,0,0,0.077022279,47.11922029,46.227638,2.213749,70.20377468,11.54132609,38922.54789,80.181,38922.54789,2.344204,0,0,0,446307.4672,NA,4.77,86.06,5.98,20.39137028,0.12,155000,151000,160000,81849.99601,26319.84179,135809.9631,6.6711682,0.016134311,53146454
Gabon,Africa,5317.8,31.9,21,Community_transmission,0.028935847,0.282017884,0.011189046,0.185191235,0.0440481,0.267156045,8.224764233,-0.803689,11.609444,151.18125,25.29725769,7464.6409,88.9528,7464.6409,5.581314,0.009838501,0.230453427,0.014840602,190270.2506,NA,7.2,259.967,6.3,3.544727257,0.02,3980,3240,4770,1602.052341,-5603.934546,10390.03765,5.5983284,0.093357734,245394
Gambia,Africa,1780.14,55.86,21.8,Community_transmission,0.011759807,0.133776567,0.054937772,0.026574461,0.038906579,0.165620608,225.3065217,13.443182,-15.310139,82.3163075,27.97866699,708.3577634,60.5892,708.3577634,6.567363,0.033643685,0.110079033,0.002467677,263611.1524,1825.471,1.91,331.43,1.1,2.560925431,0.02,6340,5230,7840,2904.17925,-4595.199472,11948.899,10.1277089,0.101454024,264762
Georgia,Europe,65942.84,828.74,38.6,Community_transmission,0.001288523,0.109937943,0.015369056,0,0.001932838,0.227950543,65.19733021,42.315407,43.356892,78.6664891,6.957606122,4370.769825,58.2374,4370.769825,2.964227,0.005581159,0,0,44733.287,NA,7.11,496.218,2.6,15.06105563,0.04,15800,14100,18000,24464.6006,10065.85512,41166.26934,23.8590976,0.090816524,1353959
Germany,Europe,27355.17,741.86,47.8,Community_transmission,0.000991152,0.146411659,0,0,0,0.081853779,237.3075967,51.165691,10.451526,60.1511108,9.429345385,44400.56462,77.2746,44400.56462,2.156963,0,0,0,616747.0957,13645.33,8.31,156.139,8,21.56299232,0.12,203000,193000,210000,122432.1428,20057.15521,222613.8639,6.5110179,0.018920351,62716595
Ghana,Africa,2302.1,14.93,21.4,Community_transmission,0.010017413,0.173941494,0.031815474,0.192118039,0.02306386,0.2308767,130.8214292,7.946527,-1.023194,96.05532394,27.62778301,2021.120124,55.4018,2021.120124,6.786804,0.090188468,0.130672723,0.024582304,4496573.237,5708.871,4.97,298.245,0.9,3.097322178,0.02,35900,28100,44700,20906.88946,-72609.30779,133631.0642,5.5036714,0.092170965,5935200
Greece,Europe,15789.52,575.36,45.3,Community_transmission,0.00044683,0.103239767,0,0,0,0.083077678,83.26518231,39.074208,21.824312,53.54714327,14.30444054,19024.2586,78.7206,19024.2586,2.491165,0,0,0,97399.25411,73948.978,4.55,175.695,4.21,21.94147013,0.06,25400,23400,27400,19393.99144,5176.592047,33321.49211,7.7110877,0.018946846,7437004
Greenland,Europe,528.43,0,34.3,No_cases,0.003621978,0.136026307,0,0,0,0.201836699,0.136491656,71.706936,-42.604303,45.10290513,-17.07233045,49377.65016,86.5678,49377.65016,2.383979,0,0,0,677.3001827,NA,2.16,199.941,NA,NA,NA,22,14,29,NA,NA,NA,NA,NA,NA
Grenada,Americas,1315.29,8.89,33.3,Sporadic_cases,0.00251472,0.236158233,0.024248567,0,0.035334536,0.235909855,327.8058824,12.262776,-61.604171,128.8380674,27.16824263,10034.52604,36.1802,10034.52604,3.42442,0.007725418,0,0,1991.630165,NA,10.71,243.964,3.7,9.677419355,0.03,255,132,392,-266.7174816,-867.9854563,436.0403845,-12.7304355,0.221991792,41536
Guam,Western Pacific,44183.08,770.26,29.4,Clusters_of_cases,0.000713961,0.185593624,0.007481424,0,0.050129023,0.309385026,306.9777778,13.444304,144.793731,NA,NA,35542.53265,94.6978,35542.53265,3.173353,0.011304836,0,0,3252.027047,8253.654,10.18,155.898,0.6,10.18984542,NA,333,292,382,NA,NA,NA,NA,NA,NA
Guatemala,Americas,9112.02,330.55,23.2,Community_transmission,0.001740349,0.195921888,0.104741737,0.001598859,0.074313064,0.291609196,152.5471258,15.783471,-90.230759,220.1783569,23.93217083,4342.453438,50.6926,4342.453438,4.772492,0.079627841,0,0,723824.6596,NA,NA,NA,NA,4.928984331,0.04,51100,43200,59200,49395.6912,43306.08207,55465.42414,24.9001272,0.013676882,6511558
Guinea,Africa,1122.61,6.4,19.1,Community_transmission,0.01003892,0.142715843,0.130397823,0.305306526,0.053942345,0.221750365,50.52221227,9.945587,-9.696645,140.5542882,26.19758013,839.7120501,35.8068,839.7120501,6.261439,0.060011871,0.078822533,0.012348601,3474116.639,NA,2.42,336.717,0.3,2.94190559,0.02,26700,18500,38900,12529.66638,-40548.75024,77075.30271,5.8112633,0.095800619,1928976
Guinea-Bissau,Africa,1412.6,23.37,18,Community_transmission,0.016864644,0.150409563,0.062134895,0.026412745,0.069340627,0.231351546,66.65394737,11.803749,-15.180413,128.0463331,27.48197981,695.8105251,42.9476,695.8105251,6.597531,0.252557461,0.117311031,0.024921812,381700.5254,NA,2.42,382.474,NA,2.863260455,0.02,4350,3310,5560,2841.155031,-5476.470945,12877.7812,8.819935304,0.095975426,386166
Guyana,Americas,10148.09,228.85,27.5,Clusters_of_cases,0.012610219,0.211748555,0.047571294,0.014096154,0.036760948,0.270902728,3.957348235,4.860416,-58.93018,197.276783,26.05163301,6053.713492,26.5512,6053.713492,4.766184,0.007748727,0,0.196688313,32340.39448,NA,11.62,373.159,1.6,6.711584305,0.02,2690,1390,3930,2811.18165,-2052.125888,8704.263631,16.38122319,0.107562981,410787
Haiti,Americas,1044.33,21.57,24.1,Community_transmission,0.01381867,0.158996217,0.119809128,0.001683191,0.056983648,0.328742851,403.5985486,18.971187,-72.285215,116.9728216,25.13607564,1331.437916,54.3278,1331.437916,4.632082,0.079674374,0,0.012752231,1416730.97,NA,6.65,430.548,0.7,5.063669546,0.05,27900,14100,42200,9608.768303,-120310.1333,150339.554,11.2039067,0.258525094,125111
Honduras,Americas,15605.67,375.68,45.6,Community_transmission,0.000990512,0.238099665,0.192169106,0.001268716,0.076137514,0.291534239,85.68703191,15.199999,-86.241905,160.9768376,24.01401122,2435.840574,56.4522,2435.840574,4.61829,0.040953977,0,0,228355.2056,NA,7.21,240.208,0.7,4.828189524,0.04,55400,46900,67100,22662.0853,-11338.62022,63319.52701,20.03542523,0.11457378,4893549
Hungary,Europe,39204.99,1371.48,43.6,Community_transmission,0.000223069,0.070741494,0,0,0,0.164602207,107.9814868,47.162494,19.503304,52.13354734,10.8767866,14709.05221,71.0672,14709.05221,2.551818,0,0,0,68179.80479,52725.651,7.55,278.296,7.02,19.69445761,0.09,53800,52400,55200,36496.70787,21945.10908,50452.84296,13.69438972,0.021322685,6135182
Iceland,Europe,17641.39,84.98,37.1,Community_transmission,0.00059905,0.115773025,0,0,0,0.073136405,3.518413965,64.963051,-19.020835,92.33924551,2.307253397,65051.14194,93.7752,65051.14194,2.265737,0,0,0,2135.295976,173416.332,5.31,117.992,2.91,15.19212107,0.04,-314,-703,11,-10.63273477,-279.0190004,251.1023531,-0.20991771,0.018058867,283281
India,South-East Asia,7860.34,112.43,28.7,Clusters_of_cases,0.001345282,0.074880416,0.094962154,0.004438405,0.056482678,0.27560445,454.9380726,20.593684,78.96288,86.6361734,24.56394071,1885.05656,33.6122,1885.05656,3.794337,0.017296122,0,0.027401915,81125828.03,26179.253,10.39,282.28,0.53,6.377924156,0.04,4070000,3710000,4360000,4735940.21,1392120.572,9250770.016,25.87815948,0.135239718,841039906
Indonesia,South-East Asia,4263.17,116.13,31.1,Community_transmission,0.001160996,0.13726551,0.067483421,0.00302229,0.085631867,0.366531916,147.7521901,-0.789275,113.921327,239.5649064,26.26064519,3752.321661,54.6542,3752.321661,3.590123,0.022801541,6.25E-05,0.023344964,10273812.98,3247.401,6.32,342.864,1.04,6.050302682,0.03,736000,594000,955000,1028700.75,234061.1006,1913918.439,27.45858362,0.1130887,158279815
Iran (Islamic Republic of),Eastern Mediterranean,17546.19,696.92,31.7,Community_transmission,0.000341184,0.134756166,0.021642108,5.19E-05,0.027636925,0.281732912,50.22242012,32.427908,53.688046,17.60874276,17.76754189,5307.030804,74.3842,5307.030804,2.74494,0.002339563,2.13E-05,0,784173.5432,12626.093,9.59,270.308,1.5,6.358522055,0.04,274000,231000,335000,232153.3724,191492.6911,271508.0051,29.60772026,0.021758276,59583574
Iraq,Eastern Mediterranean,15669.42,326.33,21.2,Community_transmission,6.15E-05,0.086727559,0.023273736,0,0.038428588,0.145789801,88.53057004,33.223191,43.679291,14.71366144,22.33393337,5352.312834,70.2888,5352.312834,5.10372,0.006844312,0.097786042,0,590915.4471,21492.724,8.83,218.612,1.4,3.398533134,0.04,183000,142000,237000,66734.6084,5806.531276,137262.0096,21.51878041,0.09807577,8498801
Ireland,Europe,41394.46,746.69,37.8,Community_transmission,0.000486813,0.110499385,0,0,0,0.073486405,70.65344753,53.41291,-8.24389,98.02790506,9.64084359,70459.40734,62.9594,70459.40734,2.307077,0,0,0,31233.24807,121869.168,3.28,126.459,2.96,14.22283075,0.08,1170,84,2330,2921.840662,-427.8889452,6158.460566,4.695760328,0.018547328,3933300
Israel,Europe,79846.13,596.5,30.4,Community_transmission,0.001551045,0.08995023,0,0,0,0.079294854,410.4805915,31.046051,34.851612,20.33762782,20.26481766,39790.41806,92.338,39790.41806,2.467147,0,0,0,56906.47757,235630.062,6.74,93.32,2.99,12.20867441,0.05,9280,7860,10600,6177.075575,1461.378217,10765.40072,6.987092484,0.017112172,6619753
Italy,Europe,43741.77,1514.67,46.5,Clusters_of_cases,0.001658128,0.120105117,0,0,0,0.09553505,205.4183722,41.87194,12.56738,76.35498878,12.62638042,32284.13089,70.1476,32284.13089,2.359126,0,0,0,315968.5019,110647.692,4.78,113.151,3.18,23.01213665,0.09,259000,242000,276000,160800.5772,84042.81118,234979.6658,12.20380198,0.020890368,48311535
Jamaica,Americas,5841.62,120.9,29.4,Community_transmission,0.005839854,0.264161547,0.0125688,0,0.040823341,0.216251473,270.9930748,18.109581,-77.297508,176.2444825,25.66470417,5151.305334,55.3936,5151.305334,3.383996,0.014099638,0,0,47248.64737,7330.959,11.28,206.537,1.7,8.922391673,0.04,6460,3680,8720,3592.308382,-3530.909541,12056.8425,9.21636785,0.105912083,717888
Japan,Western Pacific,3216.14,51.2,48.6,Clusters_of_cases,0.000371838,0.105405746,0,0,0,0.18501688,347.0734584,36.204824,138.252924,136.2051696,11.33879721,38215.82057,91.5374,38215.82057,2.301526,0,0,0,1615976.792,8960.716,5.72,79.37,13.05,28.00204928,0.05,111000,103000,116000,-19470.68873,-96676.71269,56787.63538,-0.587575085,0.008840054,101209896
Jordan,Eastern Mediterranean,33013.29,429.77,23.5,Community_transmission,5.61E-05,0.105527809,0.019455392,0,0.03192618,0.026408775,112.1424983,30.585164,36.238414,8.38079609,19.44318571,4258.55369,90.7382,4258.55369,3.785011,0.002826794,0.006320894,0,112924.5293,60189.206,11.75,208.257,1.4,3.893416292,0.04,27000,21300,33200,11928.88785,-112.0309166,25640.851,19.66740069,0.110328816,4340969
Kazakhstan,Europe,13066.77,169.63,31.6,Clusters_of_cases,0.000969608,0.092888197,0.012406677,0,0.002365282,0.201680842,6.769825721,48.019573,66.923684,21.77255298,6.810408141,9419.637369,57.3518,9419.637369,3.219706,0.006543579,0,0,304930.3915,74191.743,7.11,466.792,6.7,7.652343941,0.03,49000,46800,50900,76214.62538,64524.65354,87615.1391,28.83383776,0.020226081,8963134
Kenya,Africa,1895.88,33.21,20,Community_transmission,0.034597479,0.214270624,0.028937526,0.070197799,0.039942978,0.268673154,90.29941666,-0.023559,37.906193,54.80080484,25.11858814,1568.856027,26.5724,1568.856027,5.933747,0.035140029,0.171419155,0.014144642,7469318.471,1347.021,2.92,218.637,1.4,2.42382671,0.02,171000,127000,266000,12350.91671,7241.025328,17419.54817,2.021424788,0.003002504,6028513
Kiribati,Western Pacific,0,0,25.7,No_cases,0.000346547,0.149112004,0.096389699,0,0.069640264,0.427305359,143.0209877,-3.370417,-168.734039,96.02805096,27.50574167,1624.243585,53.2446,1624.243585,3.522152,0.013250335,0,0.015579011,9839.515252,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.40211773,-816.7243896,853.304965,-1.698112108,0.114275469,NA
Kuwait,Eastern Mediterranean,40274.24,226.9,29.7,Community_transmission,7.06E-05,0.117203033,0,0,0,0.118998588,232.1723906,29.31166,47.481766,9.824115962,26.08960545,30655.37261,100,30655.37261,2.869504,0,0,0,30302.00697,77878.569,15.84,132.235,2,2.763838983,0.04,3560,2670,4300,4239.704536,1122.53598,7881.049556,25.34767572,0.104531924,3223951
Kyrgyzstan,Europe,13054.64,219.64,27.3,Clusters_of_cases,0.001009872,0.079284872,0.041284009,0,0.001192604,0.220525785,32.96558916,41.20438,74.766098,33.85907856,3.137479615,1220.41043,36.1596,1220.41043,3.321791,0.009363411,0,0,120811.0598,NA,7.11,436.362,4.5,4.600294583,0.03,22600,21200,23900,12312.99552,8012.723919,16461.38208,18.66394815,0.025213965,1223890
Lao People's Democratic Republic,Western Pacific,6.19,0,24,Sporadic_cases,0.001250403,0.132721321,0.034977503,0.003504747,0.095634577,0.15685566,30.59578423,19.85627,102.495496,150.4519347,23.87064263,2388.948658,34.3722,2388.948658,5.517597,0.154425838,5.53E-05,0.008137361,461386.1845,NA,4,368.111,1.5,NA,NA,4640,3180,6190,1756.087217,-19428.73408,27306.82257,1.965757219,0.089938477,NA
Latvia,Europe,38218.68,714.13,44.4,Community_transmission,0.002072614,0.166774787,0,0,0,0.18023144,30.99347057,56.879635,24.603189,55.69609228,6.696891314,15891.95885,68.088,15891.95885,2.663625,0,0,0,23993.51585,118111.537,4.91,350.06,5.57,20.336511,0.04,12400,11700,13100,7668.246888,4272.621405,10922.531,12.84050427,0.02138777,1311542
Lebanon,Eastern Mediterranean,47173.48,538.72,33.7,Community_transmission,0.000245793,0.110308049,0.022596932,0,0.028811767,0.112747315,669.4941349,33.854721,35.862285,44.97702968,16.5730676,7736.823285,88.4304,7736.823285,3.803233,0.003016346,6.93E-05,0,64717.89916,NA,12.71,266.591,2.9,7.273291633,0.07,36100,30200,44800,18520.09687,12145.09866,24631.96825,22.13491642,0.033106528,2156023
